Full Name,Nationality,NRIC,Passport No. ,New Student Matric/ID No. , Level of study,State,Location,Internet Coverage Rate,Telco, Income ,Access,,,,,,,,,,,,,,
,Malaysian,,,4993,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4994,Undergraduate,Selangor,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4995,Undergraduate,Selangor,City centre,Strong (80% -90%),NA,M40,Yes,,,,,,,,,,,,,,
,,,,4996,Undergraduate,Wilayah Persekutuan,City centre,Strong (80% -90%),NA,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4997,Undergraduate,Pulau Pinang,City centre,Poor (40%-59%),NA,M40,Moderate,,,,,,,,,,,,,,
,,,,4998,Undergraduate,Johor,Outskirts,Poor (40%-59%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4999,Undergraduate,Sarawak,Outskirts,Poor (40%-59%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5000,Undergraduate,Johor,Outskirts,Poor (40%-59%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5001,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5002,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5003,Undergraduate,Negeri Sembilan,Outskirts,Poor (40%-59%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5004,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5005,Undergraduate,Kedah,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5006,Undergraduate,Selangor,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5007,Undergraduate,Selangor,City centre,Strong (80% -90%),NA,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,5008,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5009,Undergraduate,Melaka,Small town,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5010,Undergraduate,Selangor,City centre,Very poor (0%-39%),NA,M40,No,,,,,,,,,,,,,,
,Malaysian,,,5011,Undergraduate,Perak,Outskirts,Moderate (60% - 79%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5012,Undergraduate,Pahang,Outskirts,Poor (40%-59%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5013,Undergraduate,Selangor,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5014,Undergraduate,Johor,Outskirts,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5015,Undergraduate,Selangor,Outskirts,Poor (40%-59%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5016,Undergraduate,Wilayah Persekutuan-UM,City centre,Moderate (60% - 79%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5017,Undergraduate,Johor,City centre,Strong (80% -90%),NA,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,5018,Undergraduate,Sarawak,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5019,Undergraduate,Terengganu,Outskirts,Poor (40%-59%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5020,Undergraduate,NA,NA,Strong (80% -90%),NA,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,5021,Undergraduate,Selangor,Outskirts,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5022,Undergraduate,Johor,Outskirts,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5023,Undergraduate,NA,Outskirts,Moderate (60% - 79%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5024,Undergraduate,Selangor,Small town,Very poor (0%-39%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5025,Undergraduate,Selangor,City centre,Poor (40%-59%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5026,Undergraduate,Selangor,Outskirts,Poor (40%-59%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5027,Undergraduate,Johor,City centre,Moderate (60% - 79%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5028,Undergraduate,Pulau Pinang,City centre,Strong (80% -90%),NA,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,5029,Undergraduate,Selangor,City centre,Strong (80% -90%),NA,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,5030,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5031,Undergraduate,Negeri Sembilan,Small town,Poor (40%-59%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5032,Undergraduate,Selangor,City centre,Strong (80% -90%),NA,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,5033,Undergraduate,Selangor,Outskirts,Poor (40%-59%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5034,Undergraduate,Terengganu,Small town,Strong (80% -90%),NA,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,5035,Undergraduate,Selangor,City centre,Very poor (0%-39%),NA,M40,No,,,,,,,,,,,,,,
,Malaysian,,,5036,Undergraduate,Negeri Sembilan,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5037,Undergraduate,Selangor,Outskirts,Poor (40%-59%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5038,Undergraduate,Wilayah Persekutuan-UM,City centre,Strong (80% -90%),NA,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,5039,Undergraduate,Selangor,City centre,Strong (80% -90%),NA,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,5040,Undergraduate,Selangor,City centre,Poor (40%-59%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5041,Undergraduate,Perak,City centre,Moderate (60% - 79%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5042,Undergraduate,Wilayah Persekutuan,City centre,Strong (80% -90%),NA,M40,Yes,,,,,,,,,,,,,,
,Non Malaysian,,,5043,Undergraduate,Wilayah Persekutuan-UM,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5044,Undergraduate,Kedah,Outskirts,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5045,Undergraduate,Kelantan,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5046,Undergraduate,Pulau Pinang,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5047,Undergraduate,Melaka,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5048,Undergraduate,Johor,Small town,Moderate (60% - 79%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5049,Undergraduate,Pahang,City centre,Moderate (60% - 79%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5050,Undergraduate,Pahang,Outskirts,Moderate (60% - 79%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5051,Undergraduate,Wilayah Persekutuan,City centre,Poor (40%-59%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5052,Undergraduate,Pulau Pinang,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5053,Undergraduate,Wilayah Persekutuan,City centre,Strong (80% -90%),NA,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,5054,Undergraduate,Wilayah Persekutuan,City centre,Poor (40%-59%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5055,Undergraduate,Wilayah Persekutuan,City centre,Very poor (0%-39%),NA,M40,No,,,,,,,,,,,,,,
,Malaysian,,,5056,Undergraduate,Wilayah Persekutuan,City centre,Poor (40%-59%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5057,Undergraduate,Sarawak,Outskirts,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5058,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5059,Undergraduate,Pahang,Outskirts,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5060,Undergraduate,Kedah,Small town,Very poor (0%-39%),NA,M40,Moderate,,,,,,,,,,,,,,
,Non Malaysian,,,5061,Undergraduate,Wilayah Persekutuan,City centre,Strong (80% -90%),NA,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,5062,Undergraduate,Selangor,City centre,Strong (80% -90%),NA,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,5063,Undergraduate,Selangor,City centre,Poor (40%-59%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5064,Undergraduate,Selangor,City centre,Moderate (60% - 79%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5065,Undergraduate,Wilayah Persekutuan,City centre,Very poor (0%-39%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5066,Undergraduate,Johor,City centre,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5067,Undergraduate,Selangor,Outskirts,Poor (40%-59%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5068,Undergraduate,Selangor,City centre,Strong (80% -90%),NA,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,5069,Undergraduate,Selangor,Small town,Strong (80% -90%),NA,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,5070,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5071,Undergraduate,Perak,Small town,Poor (40%-59%),NA,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5072,Undergraduate,Pulau Pinang,Outskirts,Moderate (60% - 79%),NA,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,5073,Undergraduate,Johore,Small towns,Strong (80% -90%),NA,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,5074,Undergraduate,Wilayah Persekutuan,City centre,Strong (80% -90%),NA,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,5075,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),NA,B40,Moderate,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
